# Seq RA_ICRS   DE_ICRS   Plx   e_Plx pmRA   e_pmRA pmDE   e_pmDE RV     e_RV  Memb GaiaDR2 SimbadName                   _RA_icrs  _DE_icrs  Gmag      BPmag     RPmag    
  51  187.3349  28.43432  11.13 0.09  -12.03 0.15   -8.4   0.1    0.0    0.0   b    GaiaDR2 "Gaia DR2 4010812263992578048" 187.33495 28.434357 15.978721 17.582472 14.751305
  52  187.35374 21.780447 12.12 0.04  -12.08 0.06   -9.82  0.04   0.55   1.12  b    GaiaDR2 "Gaia DR2 3952684039169530752" 187.3538  21.780489 12.888371 13.845309 11.918502
  53  187.42047 24.520695 11.37 0.04  -11.22 0.06   -8.6   0.04   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960008298439044864" 187.42052 24.520733 9.500921  9.909178  8.921236 
  54  187.52023 24.042717 11.36 0.06  -11.99 0.08   -8.67  0.07   0.0    0.0   b    GaiaDR2 "Gaia DR2 3959841756787187456" 187.5203  24.042753 14.452757 15.789335 13.312615
  55  187.73906 22.770798 12.13 0.06  -12.38 0.09   -9.34  0.09   0.0    0.0   b    GaiaDR2 "Gaia DR2 3958947235358426496" 187.7391  22.770838 13.918066 15.273127 12.770673
  56  187.75227 24.567127 12.0  0.14  -12.41 0.23   -9.68  0.27   0.0    0.0   b    GaiaDR2 "Gaia DR2 3959965486205062528" 187.75233 24.56717  5.430502  5.450089  5.368672 
  57  187.76285 27.730303 11.59 0.06  -12.39 0.08   -8.57  0.06   0.46   0.35  b    GaiaDR2 "Gaia DR2 4009041088198961152" 187.76291 27.73034  8.443741  8.677705  8.049397 
  58  187.8655  25.394365 11.91 0.06  -11.98 0.09   -8.56  0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960449099522357376" 187.86554 25.394402 13.950062 15.155577 12.857037
  59  187.9021  24.874191 11.54 0.12  -11.85 0.17   -9.02  0.16   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960046330373501696" 187.90216 24.874231 16.775969 18.72202  15.445188
  60  188.25255 27.71239  12.15 0.07  -13.01 0.1    -9.87  0.08   -0.17  0.7   b    GaiaDR2 "Gaia DR2 4010481375416160000" 188.25261 27.712435 10.92639  11.448873 10.248895
  61  188.39252 24.282946 11.53 0.08  -11.89 0.09   -9.0   0.08   0.0    0.0   b    GaiaDR2 "Gaia DR2 3959212286380277632" 188.39258 24.282984 6.243773  6.286472  6.140652 
  62  188.63077 25.750044 11.87 0.23  -13.16 0.37   -9.33  0.19   -0.52  0.78  b    GaiaDR2 "Gaia DR2 3960475762679374208" 188.63083 25.750084 12.531966 13.536794 11.513314
  63  188.68953 27.38682  12.27 0.16  -12.91 0.21   -9.44  0.13   0.0    0.0   b    GaiaDR2 "Gaia DR2 3962424475240656896" 188.68959 27.38686  17.680826 19.849562 16.309622
  64  188.82265 24.465021 11.13 0.03  -11.67 0.05   -7.82  0.03   1.12   0.94  b    GaiaDR2 "Gaia DR2 3959582478201258496" 188.8227  24.465055 13.447648 14.484839 12.436649
  65  188.89197 25.01714  11.79 0.09  -12.3  0.13   -8.42  0.08   0.0    0.0   b    GaiaDR2 "Gaia DR2 3959638140977409152" 188.89203 25.017176 16.56118  18.391085 15.276323
  66  188.96796 27.844765 11.32 0.13  -11.79 0.19   -8.55  0.12   0.0    0.0   b    GaiaDR2 "Gaia DR2 4010499895315622656" 188.96802 27.8448   16.951979 18.795845 15.665436
  67  189.03665 29.802958 11.83 0.11  -11.44 0.15   -10.29 0.12   0.0    0.0   b    GaiaDR2 "Gaia DR2 4011331164761568512" 189.03671 29.803001 15.380868 16.990992 14.137068
  68  189.32257 29.353203 11.63 0.18  -11.8  0.24   -7.9   0.17   0.0    0.0   b    GaiaDR2 "Gaia DR2 4011113186581046528" 189.32263 29.353237 17.818377 20.066803 16.437252
  69  189.48456 25.862558 11.68 0.04  -12.7  0.06   -8.97  0.04   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960536716855239936" 189.48462 25.862597 14.022779 15.228456 12.932301
  70  189.54767 23.556103 11.45 0.04  -12.04 0.07   -10.34 0.04   -0.84  1.84  b    GaiaDR2 "Gaia DR2 3958873739878027392" 189.54773 23.556147 12.967571 13.916719 12.004886
  71  189.69179 26.316168 11.22 0.12  -12.21 0.13   -8.61  0.09   0.0    0.0   b    GaiaDR2 "Gaia DR2 3962066103169597184" 189.69185 26.316204 16.279625 18.015413 15.020564
  72  190.1912  27.205961 11.72 0.07  -12.76 0.1    -8.51  0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 3962261129044623232" 190.19127 27.205997 15.288213 16.874758 14.072643
  73  190.66185 25.16036  11.07 0.03  -11.26 0.04   -7.51  0.03   0.0    0.0   b    GaiaDR2 "Gaia DR2 3959503725681020032" 190.66191 25.160393 13.678233 14.771612 12.638356
  74  190.77739 24.254745 11.86 0.07  -12.18 0.09   -8.62  0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 3959379102909992576" 190.77744 24.254784 15.12779  16.65821  13.925117
  75  191.1249  24.934042 12.12 0.04  -12.22 0.05   -8.76  0.04   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960936801648700928" 191.12495 24.93408  13.763654 14.946782 12.682679
  76  191.12878 28.16367  12.03 0.07  -12.72 0.09   -8.89  0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 3962716670455862528" 191.12885 28.163708 15.132463 16.70035  13.919769
  77  191.67722 25.400059 11.44 0.1   -11.95 0.16   -7.16  0.12   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960979957480124544" 191.67728 25.40009  17.133593 19.045767 15.831362
  78  164.2123  17.330553 9.79  0.17  -10.73 0.29   -8.26  0.3    0.0    0.0   t    GaiaDR2 "Gaia DR2 3982238224528846720" 164.21234 17.33059  17.159561 19.067905 15.832013
  79  165.4933  20.033749 10.28 0.07  -11.03 0.12   -8.92  0.16   0.0    0.0   t    GaiaDR2 "Gaia DR2 3985212884518948992" 165.49336 20.033787 15.01495  16.479918 13.832859
  80  166.63995 14.23492  10.18 0.04  -10.95 0.07   -9.1   0.06   1.77   0.66  t    GaiaDR2 "Gaia DR2 3968542604614202880" 166.64    14.234959 11.372606 11.905749 10.689402
  81  168.56424 9.241932  10.27 0.12  -10.87 0.18   -7.36  0.17   0.0    0.0   t    GaiaDR2 "Gaia DR2 3819036609811244288" 168.56429 9.241964  16.835442 18.554235 15.570853
  82  170.49    23.773542 11.74 0.13  -12.24 0.22   -11.05 0.2    0.0    0.0   t    GaiaDR2 "Gaia DR2 3993604181167738112" 170.49005 23.773588 16.959206 19.009537 15.617864
  83  170.65094 24.938736 11.15 0.05  -11.52 0.07   -9.5   0.08   3.6    1.22  t    GaiaDR2 "Gaia DR2 3993835834523658368" 170.651   24.938778 12.917168 13.851112 11.966616
  84  170.90363 20.060898 10.81 0.1   -11.85 0.19   -9.08  0.13   0.0    0.0   t    GaiaDR2 "Gaia DR2 3978084711980694656" 170.90367 20.060938 15.687046 17.225664 14.477449
  85  171.05602 20.676758 10.52 0.04  -11.52 0.08   -9.12  0.07   2.89   0.64  t    GaiaDR2 "Gaia DR2 3978702504371497856" 171.05606 20.676796 12.144462 12.872069 11.319341
  86  171.18716 16.769817 10.26 0.15  -11.58 0.16   -7.93  0.16   0.0    0.0   t    GaiaDR2 "Gaia DR2 3970663974861110656" 171.18721 16.769852 16.438276 18.158909 15.18523 
  87  171.63023 14.869563 11.09 0.18  -12.65 0.27   -8.22  0.23   0.0    0.0   t    GaiaDR2 "Gaia DR2 3967135504608681216" 171.6303  14.869598 15.050733 16.686869 13.794966
  88  172.277   10.639551 10.43 0.12  -10.99 0.17   -6.7   0.14   0.0    0.0   t    GaiaDR2 "Gaia DR2 3915486152052425472" 172.27705 10.63958  16.044186 17.65168  14.823096
  89  172.29765 16.235777 10.97 0.06  -11.28 0.09   -8.92  0.08   0.0    0.0   t    GaiaDR2 "Gaia DR2 3967388220484516224" 172.2977  16.235813 14.565023 15.960583 13.409032
  90  172.36577 12.459608 11.8  0.05  -13.23 0.08   -6.53  0.06   -18.76 0.49  t    GaiaDR2 "Gaia DR2 3917421842273106816" 172.36581 12.459636 9.531664  9.855497  9.037584 
  91  172.81636 13.315394 10.66 0.11  -11.57 0.17   -6.73  0.14   0.0    0.0   t    GaiaDR2 "Gaia DR2 3965611615852422784" 172.81642 13.315423 16.250036 17.854927 14.915724
  92  172.98155 27.785519 11.0  0.11  -12.02 0.13   -9.21  0.11   0.0    0.0   t    GaiaDR2 "Gaia DR2 4018789014693472896" 172.98161 27.785559 15.960101 17.611792 14.728194
  93  173.67036 23.3342   10.78 0.07  -11.79 0.07   -9.1   0.08   0.0    0.0   t    GaiaDR2 "Gaia DR2 3981006148735077760" 173.67043 23.334238 13.127173 14.086249 12.15801 
